ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
IFNA4/7/10/17/21,NM_021268.2,0.8527,0.513791,0.65981,-5.716,0.225335,,2026-04-21T13:38:22.490663+00:00
CASP3,NM_004346.3,0.8527,0.514105,0.65932,-5.717,0.086795,,2026-04-21T13:38:22.490663+00:00
PPP3CA,NM_000944.4,0.8527,0.514307,0.659,-5.717,0.057649,,2026-04-21T13:38:22.490663+00:00
GNLY,NM_006433.2,0.8529,0.515818,-0.65662,-5.718,-0.168588,,2026-04-21T13:38:22.490663+00:00
TCL1A,NM_001098725.1,0.8529,0.517095,0.65461,-5.72,0.168852,,2026-04-21T13:38:22.490663+00:00
LDHAL6A,NM_001144071.1,0.8544,0.521433,0.64781,-5.724,0.138683,,2026-04-21T13:38:22.490663+00:00
STAT5B,NM_012448.3,0.8544,0.521708,0.64738,-5.724,0.071972,,2026-04-21T13:38:22.490663+00:00
ICOS,NM_012092.3,0.8544,0.522068,0.64681,-5.725,0.101429,,2026-04-21T13:38:22.490663+00:00
RAG1,NM_000448.2,0.8596,0.526601,0.63974,-5.729,0.114932,,2026-04-21T13:38:22.490663+00:00
ACADVL,NM_001270447.1,0.8601,0.528662,-0.63654,-5.731,-0.04793,,2026-04-21T13:38:22.490663+00:00
TGFB2,NM_003238.2,0.8601,0.5303,0.634,-5.732,0.15347,,2026-04-21T13:38:22.490663+00:00
RGS2,NM_002923.3,0.8601,0.530929,-0.63302,-5.733,-0.169267,,2026-04-21T13:38:22.490663+00:00
IL1RN,NM_000577.3,0.8823,0.546889,-0.60848,-5.747,-0.137343,,2026-04-21T13:38:22.490663+00:00
TNFRSF1B,NM_001066.2,0.8823,0.54811,0.60662,-5.748,0.093286,,2026-04-21T13:38:22.490663+00:00
TRIM46,NM_025058.4,0.8823,0.54883,-0.60552,-5.749,-0.109622,,2026-04-21T13:38:22.490663+00:00
MCM5,NM_006739.3,0.8827,0.550444,-0.60306,-5.75,-0.058784,,2026-04-21T13:38:22.490663+00:00
MAPK1,NM_138957.2,0.8855,0.553608,-0.59826,-5.753,-0.054585,,2026-04-21T13:38:22.490663+00:00
SIGLEC1,NM_023068.3,0.8891,0.558262,0.59122,-5.757,0.205666,,2026-04-21T13:38:22.490663+00:00
WNT11,NM_004626.2,0.8891,0.559355,0.58957,-5.758,0.145154,,2026-04-21T13:38:22.490663+00:00
MMP14,NM_004995.2,0.8891,0.561176,-0.58682,-5.759,-0.091155,,2026-04-21T13:38:22.490663+00:00
SMAD2,NM_001003652.3,0.8891,0.561481,-0.58636,-5.76,-0.046392,,2026-04-21T13:38:22.490663+00:00
FAM30A,NR_026800.2,0.8918,0.564984,0.5811,-5.763,0.124323,,2026-04-21T13:38:22.490663+00:00
FOXP3,NM_014009.3,0.8918,0.566857,0.57829,-5.764,0.077728,,2026-04-21T13:38:22.490663+00:00
IRAK3,NM_007199.1,0.8918,0.567374,0.57751,-5.765,0.164072,,2026-04-21T13:38:22.490663+00:00
