ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
PBX3,NM_006195.5,0.3937,0.058279,1.9592,-4.189,0.251476,
PIK3CB,NM_006219.1,0.4061,0.060756,1.93923,-4.223,0.216285,
IL2RA,NM_000417.2,0.4122,0.062628,1.9246,-4.247,0.396656,
NFAT5,NM_173214.1,0.4122,0.063433,1.91843,-4.257,0.325239,
DUSP1,NM_004417.2,0.4122,0.064355,1.91143,-4.268,0.490725,
CD33,NM_001177608.1,0.4122,0.064436,-1.91082,-4.269,-0.507403,
ADORA2A,NM_000675.3,0.4122,0.065874,-1.9001,-4.287,-0.276591,
CCNT2,NM_058241.2,0.4122,0.065913,1.89982,-4.287,0.218455,
SMAD3,NM_001145104.1,0.4122,0.066215,1.89759,-4.291,0.237625,
HCST,NM_001007469.1,0.4124,0.0669,-1.89258,-4.299,-0.182837,
ROCK1,NM_005406.1,0.4229,0.070172,1.86922,-4.337,0.245273,
CD80,NM_005191.3,0.4229,0.070495,1.86696,-4.341,0.345332,
TRDC,,0.4229,0.071251,-1.86172,-4.349,-0.412094,ENST00000390477.1
IL12A,NM_000882.2,0.4229,0.071253,1.86171,-4.349,0.357384,
ATF4,NM_001675.2,0.4447,0.075639,1.83219,-4.396,0.159226,
TRDV2,,0.4452,0.077414,-1.82067,-4.415,-0.833317,ENST00000390469.1
XCL1/2,NM_002995.2,0.4452,0.07766,-1.81908,-4.417,-0.347812,
FCER1G,NM_004106.1,0.4452,0.077826,-1.81802,-4.419,-0.351295,
CD274,NM_014143.3,0.4475,0.078929,-1.811,-4.43,-0.146942,
MIF,NM_002415.1,0.4484,0.079789,-1.80559,-4.438,-0.22335,
ZFP36L2,NM_006887.4,0.4485,0.080522,1.80101,-4.445,0.31817,
OAS2,NM_016817.2,0.4545,0.082462,-1.78906,-4.464,-0.181583,
FZD2,NM_001466.2,0.4545,0.083021,-1.78566,-4.469,-0.354302,
KIR2DS1/4,NM_014512.1,0.4694,0.086777,1.76332,-4.504,0.900174,
KIR2DL5A/B,NM_020535.3,0.4694,0.087223,1.76072,-4.508,0.821386,
CRTAM,NM_019604.2,0.474,0.088833,-1.75143,-4.522,-0.274657,
SESN3,NM_001271594.1,0.4787,0.092496,1.73081,-4.553,0.296473,
PSME2,NM_002818.2,0.4787,0.092993,-1.72807,-4.558,-0.136101,
CSF3R,NM_000760.3,0.4787,0.093164,1.72713,-4.559,0.448252,
