Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
SNAPC1,small nuclear RNA activating complex polypeptide 1,6617,-2.046,1.469
SLC8A3,solute carrier family 8 member A3,6547,1.941,1.414
RGS6,regulator of G protein signaling 6,9628,1.488,1.471
MLH3,mutL homolog 3,27030,1.953,4.731
LOC101928462,uncharacterized LOC101928462,101928462,1.125,1.54
STON2,stonin 2,85439,1.121,1.605
IGHV3-11,immunoglobulin heavy variable 3-11,28450,2.015,1.669
IGHV1-18,immunoglobulin heavy variable 1-18,28468,1.507,1.397
IGHV3-22,immunoglobulin heavy variable 3-22 (pseudogene),28443,1.507,1.517
IGHV3-23,immunoglobulin heavy variable 3-23,28442,1.403,1.399
IGHV2-26,immunoglobulin heavy variable 2-26,28455,1.421,1.385
IGHV4-30-2,immunoglobulin heavy variable 4-30-2,28398,1.532,1.71
IGHV5-51,immunoglobulin heavy variable 5-51,28388,1.189,1.362
IGHV3-64,immunoglobulin heavy variable 3-64,28414,2.78,1.819
IGHV3-69-1,immunoglobulin heavy variable 3-69-1 (pseudogene),28402,1.224,1.549
IGHV3-9,immunoglobulin heavy variable 3-9,28451,2.063,2.26
LOC102723407,immunoglobulin heavy variable 4-38-2-like,102723407,1.86,1.477
TRIM69,tripartite motif containing 69,140691,1.015,1.377
MAPK6,mitogen-activated protein kinase 6,5597,-1.748,1.414
CCNB2,cyclin B2,9133,1.96,1.324
PIF1,PIF1 5'-to-3' DNA helicase,80119,1.553,2.501
LOC107984727,uncharacterized LOC107984727,107984727,1.953,2.786
PCSK6,proprotein convertase subtilisin/kexin type 6,5046,1.941,1.437
LOC107987228,uncharacterized LOC107987228,107987228,2.17,1.549
DDX11L9,DEAD/H-box helicase 11 like 9 (pseudogene),100288486,1.567,1.399
TNFRSF12A,TNF receptor superfamily member 12A,51330,-3.581,1.796
VASN,vasorin,114990,-2.713,1.414
TGFB1I1,transforming growth factor beta 1 induced transcript 1,7041,1.981,2.209
LOC107983990,uncharacterized LOC107983990,107983990,1.499,1.521
NKD1,NKD inhibitor of WNT signaling pathway 1,85407,-2.047,1.5
CETP,cholesteryl ester transfer protein,1071,1.589,1.487
RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator",6236,-4.735,1.686
LOC105371362,uncharacterized LOC105371362,105371362,1.824,1.631
SLC7A5,solute carrier family 7 member 5,8140,-3.387,1.545
LOC107984905,,107984905,1.996,1.406
LOC100287036,uncharacterized LOC100287036,100287036,1.646,3.769
GP1BA,glycoprotein Ib platelet subunit alpha,2811,1.467,1.5
ALOX12,"arachidonate 12-lipoxygenase, 12S type",239,1.155,1.477
KDM6B,lysine demethylase 6B,23135,-2.356,1.316
LOC107987244,uncharacterized LOC107987244,107987244,-2.379,1.545
PER1,period circadian regulator 1,5187,-2.157,1.607
AURKB,aurora kinase B,9212,1.635,1.469
NT5M,"5',3'-nucleotidase, mitochondrial",56953,1.679,1.487
CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,8851,-1.123,1.53
GSDMA,gasdermin A,284110,2.076,1.344
CCR10,C-C motif chemokine receptor 10,2826,1.121,1.321
ABCC3,ATP binding cassette subfamily C member 3,8714,1.418,2.266
MMD,monocyte to macrophage differentiation associated,23531,1.356,1.586
METRNL,"meteorin like, glial cell differentiation regulator",284207,-1.903,1.386
LOC105371967,uncharacterized LOC105371967,105371967,1.563,2.332
TWSG1-DT,TWSG1 divergent transcript,102724397,1.462,1.545
TUBB6,tubulin beta 6 class V,84617,-1.722,1.429
SMAD7,SMAD family member 7,4092,-2.804,1.399
RAB27B,"RAB27B, member RAS oncogene family",5874,1.37,2.677
CDH20,cadherin 20,28316,1.869,1.529
ADNP2,ADNP homeobox 2,22850,-1.319,1.487
GADD45B,growth arrest and DNA damage inducible beta,4616,-1.915,1.406
ICAM1,intercellular adhesion molecule 1,3383,-1.653,1.551
LDLR,low density lipoprotein receptor,3949,-1.775,1.493
MISP3,MISP family member 3,113230,1.293,1.487
LOC101929007,uncharacterized LOC101929007,101929007,1.432,1.302
ZNF681,zinc finger protein 681,148213,-1.256,1.975
LOC107985270,,107985270,2.413,2.6
LYPD3,LY6/PLAUR domain containing 3,27076,-4.281,1.985
PLAUR,"plasminogen activator, urokinase receptor",5329,-2.295,1.325
BCL3,BCL3 transcription coactivator,602,-1.758,1.383
CABP5,calcium binding protein 5,56344,1.851,1.406
ZNF331,zinc finger protein 331,55422,-2.884,1.517
FCAR,Fc alpha receptor,2204,-2.36,1.488
LZTS3,leucine zipper tumor suppressor family member 3,9762,-1.479,1.399
MACROD2,mono-ADP ribosylhydrolase 2,140733,1.373,1.475
THBD,thrombomodulin,7056,-3.378,1.5
TPX2,TPX2 microtubule nucleation factor,22974,1.714,2.251
