symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
ZNF860,344787.0,zinc finger protein 860,0.289,0.608968,0.498696,1.06066,24.06,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CNOT1,23019.0,CCR4-NOT transcription complex subunit 1,0.289,0.609253,-0.124694,-1.06028,706.08,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NBR2,10230.0,neighbor of BRCA1 lncRNA 2,0.289,0.609366,0.307622,1.06008,61.71,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SMCR8,140775.0,SMCR8-C9orf72 complex subunit,0.289,0.609369,-0.194836,-1.05999,111.45,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IGKV2-26,28922.0,immunoglobulin kappa variable 2-26 (pseudogene),0.289,0.609471,0.447149,1.05951,41.96,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC112268444,112268444.0,,0.289,0.609471,-0.391393,-1.05968,40.71,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ITIH4,3700.0,inter-alpha-trypsin inhibitor heavy chain 4,0.289,0.609471,-0.266959,-1.05947,132.63,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NAP1L4,4676.0,nucleosome assembly protein 1 like 4,0.289,0.609471,0.143262,1.05956,2221.35,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
C3AR1,719.0,complement C3a receptor 1,0.289,0.609471,0.239724,1.05959,1316.09,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TRAPPC6A,79090.0,trafficking protein particle complex subunit 6A,0.29,0.609631,-0.191278,-1.05922,1219.92,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC107984986,107984986.0,,0.29,0.609745,0.222937,1.05899,42.26,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF702P,79986.0,"zinc finger protein 702, pseudogene",0.29,0.609745,-0.557454,-1.05893,37.04,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC100134368,100134368.0,uncharacterized LOC100134368,0.29,0.610354,-0.309548,-1.05813,18.83,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
