symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc,neg_log10_pvalue,dataset_id
SPARC,6678,secreted protein acidic and cysteine rich,0.000252,0.0281239,1.91522,3.66025,5347.95,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
SNHG5,387066,small nucleolar RNA host gene 5,0.000242,0.0281239,-1.18224,-3.6702,438.16,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
NRCAM,4897,neuronal cell adhesion molecule,0.000255,0.0281239,-1.7234,-3.65762,25.8,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
KCNA5,3741,potassium voltage-gated channel subfamily A member 5,0.000255,0.0281239,-1.60168,-3.65729,22.82,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
ICAM1,3383,intercellular adhesion molecule 1,0.000255,0.0281239,-1.65289,-3.65704,3604.98,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
CAPN1-AS1,728975,CAPN1 antisense RNA 1,0.000258,0.0282118,1.37184,3.65448,143.27,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.55,NOS0001
P3H2,55214,prolyl 3-hydroxylase 2,0.000269,0.0282578,-1.01165,-3.64371,38.99,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.549,NOS0001
LOC107984360,107984360,,0.000266,0.0282578,2.71387,3.64671,233.09,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.549,NOS0001
IGHV3-69-1,28402,immunoglobulin heavy variable 3-69-1 (pseudogene),0.000264,0.0282578,1.22355,3.64846,111.15,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.549,NOS0001
LYPLAL1-DT,643723,LYPLAL1 divergent transcript,0.000291,0.0284778,1.43631,3.62318,28.66,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
MYLK,4638,myosin light chain kinase,0.000287,0.0284778,1.55113,3.6272,695.6,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
ITGB5,3693,integrin subunit beta 5,0.000292,0.0284778,1.79636,3.62211,751.13,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
H2AC8,3012,H2A clustered histone 8,0.000282,0.0284778,1.13739,3.63128,39.42,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
FOSL1,8061,"FOS like 1, AP-1 transcription factor subunit",0.000283,0.0284778,-3.66353,-3.63033,192.96,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
TWSG1-DT,102724397,TWSG1 divergent transcript,0.000285,0.0284778,1.46247,3.62856,25.14,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
TP53INP2,58476,tumor protein p53 inducible nuclear protein 2,0.000283,0.0284778,-3.44972,-3.63055,217.78,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
TUBB1,81027,tubulin beta 1 class VI,0.000288,0.0284778,1.6449,3.62622,5621.04,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
GRAP2,9402,GRB2 related adaptor protein 2,0.000282,0.0284778,1.03676,3.63099,1641.3,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
C1orf116,79098,chromosome 1 open reading frame 116,0.000314,0.0285022,1.72505,3.60336,25.78,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
VEPH1,79674,ventricular zone expressed PH domain containing 1,0.000301,0.0285022,1.53092,3.61474,52.2,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
ABLIM3,22885,actin binding LIM protein family member 3,0.000304,0.0285022,1.84089,3.61213,146.61,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
AFAP1L2,84632,actin filament associated protein 1 like 2,0.000307,0.0285022,1.05444,3.60967,44.31,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
GPR84,53831,G protein-coupled receptor 84,0.000314,0.0285022,-2.94747,-3.60337,229.47,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
SLC7A5,8140,solute carrier family 7 member 5,0.000307,0.0285022,-3.38712,-3.60903,1819.16,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
SIK1,150094,salt inducible kinase 1,0.000316,0.0285022,-3.6094,-3.60211,149.84,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
PGRMC1,10857,progesterone receptor membrane component 1,0.000299,0.0285022,1.20996,3.61623,848.74,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.545,NOS0001
KCNN3,3782,potassium calcium-activated channel subfamily N member 3,0.00033,0.0291651,2.55505,3.59031,20.41,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.535,NOS0001
TNFAIP3,7128,TNF alpha induced protein 3,0.00033,0.0291651,-2.58269,-3.59042,7293.26,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.535,NOS0001
CLU,1191,clusterin,0.000328,0.0291651,1.75398,3.59229,6470.33,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.535,NOS0001
ULBP2,80328,UL16 binding protein 2,0.000333,0.0292235,-4.53016,-3.58836,113.14,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.534,NOS0001
CLEC1B,51266,C-type lectin domain family 1 member B,0.000335,0.0292735,1.08164,3.58648,129.25,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.534,NOS0001
